	SRR521207	SRR515153	SRR521174	SRR518987	SRR521180	SRR521181	SRR521183	SRR521188	SRR521191	SRR521194	SRR521211	SRR521212	SRR521213	SRR521214	SRR521235	SRR521190	SRR521196	SRR521177	SRR521198	SRR521185	SRR521225	SRR521215	SRR521221	SRR521242	SRR521203	SRR521219	SRR521197	SRR521227	SRR521247	SRR521172	SRR521173	SRR521232	SRR521220	SRR521259	SRR521244	SRR521176	SRR521195	SRR521209	SRR521192	SRR521189	SRR521175	SRR521200	SRR521251	SRR521253	SRR521216	SRR521230	SRR521234	SRR521236	SRR521239	SRR521241	SRR521243	SRR521249	SRR521258	SRR521264	SRR521265	SRR521222	SRR521182	SRR521187	SRR521205	SRR521226	SRR521250	SRR521199	SRR521233	SRR521245	SRR521179	SRR521237	SRR521204	SRR521184	SRR521255	SRR521178	SRR521186	SRR521252	SRR521217	SRR521246	SRR521193	SRR521202	SRR521224	SRR521257	SRR521208	SRR521223	SRR521256	SRR521231	SRR521248	SRR521240	SRR521238	SRR521260	SRR521262	SRR521229	SRR521254	SRR521261	SRR521201	SRR521206	SRR521263
SRR521207	0.0	0.35204875	0.389665075	0.339665825	0.2285014875	0.185550375	0.3277813625	0.2779393625	0.168783675	0.3568395	0.257122475	0.2649647875	0.16195965	0.3054707125	0.38170385	0.2557296125	0.2412611	0.3386335875	0.2256760875	0.2832981	0.1435599875	0.1506189125	0.1851807	0.493213375	0.298209325	0.242223025	0.242041325	0.0833012875	0.51476765	0.27395395	0.1881020625	0.5408934875	0.161889725	0.5598877	0.56131695	0.1861834875	0.2435918375	0.532708475	0.455163375	0.135836025	0.2333910625	0.3090317875	0.525982	0.509163475	0.5195060625	0.2215156625	0.59288305	0.4980899875	0.5085648875	0.5060145125	0.4895657625	0.42444945	0.5683548875	0.4272564375	0.5485799375	0.239923975	0.2558173125	0.3696749625	0.08883345	0.1270325	0.379302925	0.2626857625	0.393138375	0.4547141	0.417296825	0.5306510375	0.5556562875	0.3888294	0.4778834	0.3317188625	0.329948275	0.334996175	0.5951029125	0.5141280875	0.2882298375	0.5568324	0.5733063875	0.4837826875	0.5364519125	0.5449755	0.5086076	0.5764281	0.569163925	0.59363425	0.582924625	0.556117875	0.5502582875	0.5558414625	0.428148225	0.5615847125	0.573128725	0.5585867125	0.4195221375
SRR515153	0.35204875	0.0	0.088365625	0.057141625	0.2166098875	0.44743965	0.0933049375	0.1463877125	0.253171275	0.056204225	0.174200675	0.1799183875	0.387324525	0.1494381375	0.213085675	0.1685307375	0.171548575	0.0769520125	0.1983028625	0.123798125	0.2905342375	0.2997005375	0.24607005	0.2312049	0.135869675	0.2204345	0.16622995	0.3294498125	0.24592915	0.13011685	0.2212379875	0.2638443375	0.320745925	0.2733035	0.261785375	0.2465348125	0.1886822875	0.253324125	0.157491525	0.2944778	0.1939803375	0.1114588375	0.2394922	0.239803125	0.2517381125	0.3226170875	0.315060525	0.2245979625	0.2389958375	0.2437906875	0.2062182125	0.3019298	0.2863947125	0.1632712875	0.2574521625	0.2064097	0.1628679125	0.1043784625	0.310429825	0.274273225	0.083917625	0.1626645875	0.34056475	0.183626425	0.10710395	0.2636984875	0.2808064125	0.100976075	0.20957675	0.0921971375	0.086271625	0.259425625	0.2833744125	0.2443382125	0.1311519125	0.275579025	0.2918537375	0.2199488125	0.2624872375	0.270912925	0.236877525	0.2989814	0.281876075	0.283305875	0.286770925	0.2722711	0.2812460375	0.2604716125	0.1763669	0.2842501875	0.2769339	0.2822306125	0.1558119875
SRR521174	0.389665075	0.088365625	0.0	0.1011003	0.2430889625	0.471556475	0.1018216375	0.1507059875	0.285630475	0.09438075	0.201981225	0.2117412125	0.4182525	0.1816806375	0.2363401	0.1945986375	0.193607775	0.0993354125	0.2270227125	0.154181925	0.3177314125	0.3303840125	0.270057875	0.2247066	0.164504625	0.250984775	0.186777975	0.3584425125	0.230610125	0.175825175	0.2549853125	0.2476901625	0.355701225	0.248060375	0.24320135	0.2718952375	0.2105278875	0.247544775	0.132854425	0.3238985	0.2168610125	0.1226322875	0.231319875	0.22932615	0.2401800125	0.3560091125	0.29939065	0.2128582875	0.2262720625	0.2267730625	0.1930313875	0.31748315	0.2653944125	0.1711367375	0.2314365375	0.235417925	0.1922087375	0.1172458375	0.3410098	0.2991043	0.069359	0.1799359375	0.354259875	0.1730414	0.1037425	0.2416656875	0.2727862125	0.1040829	0.214285225	0.1073828625	0.111306275	0.292345	0.2537791625	0.2365705875	0.1678086625	0.2605139	0.2760880125	0.2066636875	0.2533678875	0.262910125	0.22768145	0.27855855	0.264630125	0.252964225	0.26705735	0.253394275	0.2626574625	0.2407871875	0.18502715	0.2693176625	0.25936035	0.2679973875	0.1523749375
SRR518987	0.339665825	0.057141625	0.1011003	0.0	0.2150624125	0.4336488	0.0899932625	0.1350713875	0.2411581	0.072952	0.156395225	0.1740428375	0.3777273	0.1435257375	0.217575425	0.1690899125	0.169986825	0.0795402625	0.1979649125	0.1127965	0.2755446875	0.2871655625	0.2333593	0.24489295	0.13108735	0.210233225	0.1632007	0.3135123125	0.2612229	0.1206427	0.2119790125	0.2702818375	0.316352025	0.283657525	0.270706525	0.2329849875	0.1818310625	0.2683994	0.171834725	0.284296925	0.1837306375	0.1041408875	0.255215825	0.25192475	0.2636055625	0.3168278375	0.328422025	0.2434560125	0.2480249875	0.2541302375	0.2169206125	0.3043362	0.3013524125	0.1798692875	0.2662743875	0.19852105	0.1513297375	0.1153104375	0.304021575	0.265744725	0.0939285	0.1530117875	0.3410073	0.197379825	0.126077325	0.2710208375	0.2949948125	0.112444975	0.22771515	0.0854441625	0.0813943	0.259774575	0.3000168375	0.2631319125	0.1216930375	0.288898875	0.3011728875	0.2370217125	0.2781542625	0.2837125	0.24887535	0.306365675	0.29542775	0.29887625	0.305044725	0.279658675	0.2882626125	0.2752118625	0.180264025	0.2920525375	0.2903967	0.2989324125	0.1706522625
SRR521180	0.2285014875	0.2166098875	0.2430889625	0.2150624125	0.0	0.3045720625	0.18448305	0.1432248	0.1410083875	0.2398304375	0.1470511375	0.1229503	0.2738323875	0.206601025	0.2779185125	0.120822225	0.1143550875	0.19655485	0.112742275	0.1467192875	0.165877975	0.179142575	0.1281970875	0.3891355625	0.1563964625	0.1136857875	0.1083488125	0.1999387	0.4069323625	0.1633354125	0.10398585	0.424918825	0.2048271125	0.4352083375	0.4233032875	0.1306537	0.108438325	0.4221995375	0.2788629625	0.1712048875	0.102707325	0.174804325	0.3978523375	0.4063759875	0.414497225	0.24679115	0.4772107875	0.388556075	0.405466925	0.401602725	0.377951325	0.3230477125	0.440297475	0.320357025	0.410505325	0.1535741375	0.146532025	0.245570725	0.1831869125	0.1503016625	0.2380054875	0.142248875	0.3213916375	0.3373966375	0.2732172875	0.427151825	0.44703085	0.2147227125	0.3639734625	0.20265945	0.1892946875	0.2264018375	0.429686875	0.4003244	0.1814709	0.4359863875	0.4553869	0.377756425	0.425852225	0.4404200375	0.3928661125	0.4615205375	0.4363878375	0.4333426625	0.4403198125	0.4321012125	0.443682975	0.42004955	0.3088868375	0.448708625	0.4383090375	0.439151	0.314550975
SRR521181	0.185550375	0.44743965	0.471556475	0.4336488	0.3045720625	0.0	0.4149108125	0.3624338625	0.2588558	0.45587475	0.3514726	0.3607314125	0.218483625	0.4072530375	0.487147325	0.3404637625	0.33447115	0.4257750125	0.3231632875	0.381839425	0.2359717125	0.2381869375	0.2715369	0.596678225	0.3950926	0.337376225	0.3332343	0.1936932375	0.618145075	0.372596	0.2816358375	0.6292672875	0.2639248	0.64925215	0.654093625	0.2716407875	0.3351266875	0.633036125	0.5207702	0.21610015	0.3263203625	0.3939999375	0.61619935	0.6134451	0.6207119125	0.3305333625	0.691422925	0.5997564875	0.6108696875	0.6069315625	0.5886940875	0.525923275	0.6376869375	0.5256626375	0.6311214375	0.351885525	0.3548176625	0.4691871625	0.219129625	0.2403313	0.46466075	0.3635301875	0.495203475	0.546231	0.50376795	0.6314864375	0.6618314125	0.460671125	0.57923745	0.4182418625	0.406276375	0.431552325	0.6641431625	0.6234345875	0.3656907375	0.641224525	0.6641528125	0.5849596375	0.6336964875	0.6538239	0.605422625	0.67330425	0.652756625	0.6773427	0.665227525	0.647611475	0.6553963875	0.6547805875	0.501677425	0.6635355875	0.663289	0.6479672125	0.5165398625
SRR521183	0.3277813625	0.0933049375	0.1018216375	0.0899932625	0.18448305	0.4149108125	0.0	0.09601265	0.2305078875	0.1164794875	0.1441269625	0.151565375	0.3598238375	0.131018025	0.2116245875	0.13197965	0.1324229625	0.0765019	0.1648893	0.0981828625	0.260687775	0.26727465	0.2115812625	0.2708404125	0.1074748875	0.1898406125	0.1219230375	0.29858085	0.2842500875	0.1096878375	0.1963587	0.30016725	0.2980223625	0.3114654125	0.2944455625	0.203108125	0.141745075	0.2998728625	0.1875959375	0.2619737875	0.152732525	0.0662402	0.2840087625	0.2832290125	0.29641535	0.29928295	0.3536847875	0.265445475	0.283551425	0.285191725	0.24831645	0.2976992875	0.326120875	0.201101725	0.286852425	0.1819147625	0.1299928	0.14304555	0.2841944125	0.2426837125	0.1200249625	0.12305945	0.3365898375	0.2237828375	0.1566968875	0.2985237	0.323816825	0.1358029375	0.2511362875	0.081011825	0.0847919875	0.2370236875	0.315900475	0.286423525	0.120868875	0.3174964125	0.33115795	0.2621018	0.308250075	0.3162237375	0.2749689875	0.3324859125	0.3226575875	0.3114263625	0.3238897625	0.3080778875	0.316614575	0.29405775	0.2027627875	0.31921085	0.3169051125	0.3269381	0.19681465
SRR521188	0.2779393625	0.1463877125	0.1507059875	0.1350713875	0.1432248	0.3624338625	0.09601265	0.0	0.1742914625	0.1635109625	0.1013882625	0.12379215	0.3187526625	0.146544925	0.2175866625	0.10022345	0.0957779375	0.13229965	0.12680985	0.1036178125	0.212459525	0.226687925	0.1697508375	0.3239302125	0.1157733875	0.1530389625	0.0886593875	0.24943295	0.3400700625	0.1003978125	0.142257425	0.3525248	0.2544921375	0.3597154875	0.3560629125	0.16629225	0.120073825	0.3531814125	0.2347946125	0.2254679125	0.121716625	0.0814143	0.3358473125	0.3361063875	0.34894145	0.260744025	0.4070011625	0.318859675	0.3352986	0.333981925	0.300989425	0.2903074625	0.369910025	0.25675975	0.33839835	0.1482419375	0.100101675	0.195743975	0.2285706125	0.1928273625	0.1686921625	0.095917775	0.3282743375	0.2764895875	0.2079395875	0.353948225	0.38113355	0.1842414875	0.3089021375	0.12472325	0.1185010375	0.2225412125	0.370789075	0.339940675	0.093414075	0.3655911125	0.3814501	0.3134245	0.355364175	0.3710852375	0.3328528125	0.3858269625	0.3690146375	0.3739243125	0.3776073625	0.3622532125	0.36884515	0.35499215	0.2463360875	0.37675165	0.3668423375	0.37358925	0.24842645
SRR521191	0.168783675	0.253171275	0.285630475	0.2411581	0.1410083875	0.2588558	0.2305078875	0.1742914625	0.0	0.25759305	0.176774725	0.1800490625	0.22658345	0.2379625125	0.2985844	0.1543295125	0.150025825	0.2379704125	0.1437224625	0.184298175	0.1316170125	0.1425377625	0.104838375	0.410645875	0.215486425	0.162134925	0.14697715	0.1463663125	0.429846275	0.185270525	0.0791431625	0.4518675875	0.17328205	0.46085915	0.469552125	0.1017768125	0.1549001875	0.443162575	0.355665525	0.138682825	0.1429248125	0.2040616125	0.435904825	0.42617835	0.4401676875	0.2018053625	0.504352775	0.4115440625	0.4302251125	0.4263074625	0.3999370375	0.343931925	0.4641399625	0.3436783625	0.4602943125	0.179990225	0.1687405375	0.2920747875	0.1369147	0.10661005	0.277340325	0.1838788375	0.314327375	0.366859	0.3019261	0.4472493375	0.4734278375	0.29432425	0.392013375	0.2362634625	0.2184731	0.25200465	0.4907085625	0.4332715875	0.1792491375	0.455990575	0.4723421375	0.3958847125	0.4521253875	0.462138675	0.4218767	0.483598025	0.48049165	0.490598575	0.481331325	0.465328525	0.4598379125	0.4602077875	0.333665025	0.4705971625	0.475487925	0.4656265625	0.3246145375
SRR521194	0.3568395	0.056204225	0.09438075	0.072952	0.2398304375	0.45587475	0.1164794875	0.1635109625	0.25759305	0.0	0.190670275	0.1988365875	0.3923578	0.1477246875	0.218137275	0.1912552375	0.19318985	0.0998278625	0.2087277875	0.143258975	0.2991686375	0.3185561375	0.26312715	0.2273812	0.159223225	0.2270415	0.187806075	0.3408052125	0.244313225	0.1361335	0.2339246625	0.2593381625	0.3256965	0.26967685	0.260588925	0.2665476875	0.2115474125	0.2478228	0.16593875	0.3022131	0.2084507625	0.1277830875	0.243363575	0.2382042	0.2473598375	0.3409366875	0.313369475	0.2231986625	0.2356641875	0.2402308625	0.2031413125	0.30574165	0.2857399625	0.1653834625	0.2593777875	0.21145115	0.1712011625	0.0938948625	0.314593925	0.29111045	0.0819586	0.1830989625	0.349325475	0.1827644	0.1067307	0.2614929375	0.2736961125	0.1068989	0.21044745	0.1127883875	0.109751375	0.274806675	0.2862670875	0.2437716875	0.1374247375	0.2750438	0.2886453125	0.2168294125	0.2589371875	0.265499925	0.23682515	0.295406575	0.282490025	0.288901325	0.292801425	0.27358075	0.2765193375	0.2606155875	0.18224335	0.2816530375	0.27570325	0.2808910125	0.1541195375
