SampleID	Abx	Source	MouseID
SRR515153	Control	cecal	C1
SRR521204	Control	fecal	C1
SRR521173	Control	cecal	C10
SRR521202	Control	fecal	C10
SRR518987	Control	cecal	C2
SRR521223	Control	fecal	C2
SRR521172	Control	cecal	C3
SRR521208	Control	fecal	C3
SRR521194	Control	cecal	C4
SRR521209	Control	fecal	C4
SRR521193	Control	cecal	C5
SRR521216	Control	fecal	C5
SRR521185	Control	cecal	C6
SRR521217	Control	fecal	C6
SRR521179	Control	cecal	C7
SRR521206	Control	fecal	C7
SRR521186	Control	cecal	C8
SRR521201	Control	fecal	C8
SRR521191	Control	cecal	C9
SRR521224	Control	fecal	C9
SRR521198	Penicillin	cecal	P1
SRR521229	Penicillin	fecal	P1
SRR521174	Penicillin	cecal	P10
SRR521264	Penicillin	fecal	P10
SRR521196	Penicillin	cecal	P2
SRR521259	Penicillin	fecal	P2
SRR521190	Penicillin	cecal	P3
SRR521263	Penicillin	fecal	P3
SRR521177	Penicillin	cecal	P4
SRR521240	Penicillin	fecal	P4
SRR521178	Penicillin	cecal	P5
SRR521200	Penicillin	cecal	P6
SRR521241	Penicillin	fecal	P6
SRR521197	Penicillin	cecal	P7
SRR521237	Penicillin	fecal	P7
SRR521183	Penicillin	cecal	P8
SRR521236	Penicillin	fecal	P8
SRR521188	Penicillin	cecal	P9
SRR521247	Penicillin	fecal	P9
SRR521212	Chlortetracycline	cecal	T1
SRR521255	Chlortetracycline	fecal	T1
SRR521221	Chlortetracycline	cecal	T10
SRR521265	Chlortetracycline	fecal	T10
SRR521210	Chlortetracycline	cecal	T2
SRR521256	Chlortetracycline	fecal	T2
SRR521203	Chlortetracycline	cecal	T3
SRR521245	Chlortetracycline	fecal	T3
SRR521251	Chlortetracycline	fecal	T4
SRR521219	Chlortetracycline	cecal	T5
SRR521215	Chlortetracycline	cecal	T6
SRR521233	Chlortetracycline	fecal	T6
SRR521211	Chlortetracycline	cecal	T7
SRR521232	Chlortetracycline	fecal	T7
SRR521225	Chlortetracycline	cecal	T8
SRR521242	Chlortetracycline	fecal	T8
SRR521228	Chlortetracycline	cecal	T9
SRR521249	Chlortetracycline	fecal	T9
SRR521182	Vancomycin	cecal	V1
SRR521262	Vancomycin	fecal	V1
SRR521180	Vancomycin	cecal	V10
SRR521248	Vancomycin	fecal	V10
SRR521195	Vancomycin	cecal	V2
SRR521260	Vancomycin	fecal	V2
SRR521199	Vancomycin	cecal	V3
SRR521261	Vancomycin	fecal	V3
SRR521175	Vancomycin	cecal	V4
SRR521231	Vancomycin	fecal	V4
SRR521176	Vancomycin	cecal	V5
SRR521244	Vancomycin	fecal	V5
SRR521192	Vancomycin	cecal	V6
SRR521254	Vancomycin	fecal	V6
SRR521189	Vancomycin	cecal	V7
SRR521257	Vancomycin	fecal	V7
SRR521181	Vancomycin	cecal	V8
SRR521258	Vancomycin	fecal	V8
SRR521184	Vancomycin	cecal	V9
SRR521238	Vancomycin	fecal	V9
SRR521187	VancomycinPenicillin	cecal	VP1
SRR521234	VancomycinPenicillin	fecal	VP1
SRR521239	VancomycinPenicillin	fecal	VP10
SRR521250	VancomycinPenicillin	cecal	VP10
SRR521222	VancomycinPenicillin	cecal	VP2
SRR521235	VancomycinPenicillin	fecal	VP2
SRR521220	VancomycinPenicillin	cecal	VP3
SRR521252	VancomycinPenicillin	fecal	VP3
SRR521213	VancomycinPenicillin	cecal	VP4
SRR521246	VancomycinPenicillin	fecal	VP4
SRR521214	VancomycinPenicillin	cecal	VP5
SRR521226	VancomycinPenicillin	cecal	VP6
SRR521227	VancomycinPenicillin	cecal	VP7
SRR521230	VancomycinPenicillin	fecal	VP7
SRR521205	VancomycinPenicillin	cecal	VP8
SRR521253	VancomycinPenicillin	fecal	VP8
SRR521207	VancomycinPenicillin	cecal	VP9
SRR521243	VancomycinPenicillin	fecal	VP9
