	SRR521207	SRR515153	SRR521174	SRR518987	SRR521180	SRR521181	SRR521183	SRR521188	SRR521191	SRR521194	SRR521211	SRR521212	SRR521213	SRR521214	SRR521235	SRR521190	SRR521196	SRR521177	SRR521198	SRR521185	SRR521225	SRR521215	SRR521221	SRR521242	SRR521203	SRR521219	SRR521197	SRR521227	SRR521247	SRR521172	SRR521173	SRR521232	SRR521220	SRR521259	SRR521244	SRR521176	SRR521195	SRR521209	SRR521192	SRR521189	SRR521175	SRR521200	SRR521251	SRR521253	SRR521216	SRR521230	SRR521234	SRR521236	SRR521239	SRR521241	SRR521243	SRR521249	SRR521258	SRR521264	SRR521265	SRR521222	SRR521182	SRR521187	SRR521205	SRR521226	SRR521250	SRR521199	SRR521233	SRR521245	SRR521179	SRR521237	SRR521204	SRR521184	SRR521255	SRR521178	SRR521186	SRR521252	SRR521217	SRR521246	SRR521193	SRR521202	SRR521224	SRR521257	SRR521208	SRR521223	SRR521256	SRR521231	SRR521248	SRR521240	SRR521238	SRR521260	SRR521262	SRR521229	SRR521254	SRR521261	SRR521201	SRR521206	SRR521263
SRR521207	0.0	0.32875	0.3475	0.30375	0.16875	0.19	0.29	0.255	0.14625	0.335	0.2225	0.215	0.1875	0.30625	0.37375	0.21125	0.21625	0.3	0.20375	0.24875	0.11875	0.1125	0.13625	0.5025	0.255	0.20875	0.20125	0.1075	0.4975	0.24375	0.1675	0.54	0.21875	0.545	0.54625	0.185	0.23	0.5225	0.4075	0.09	0.20125	0.26875	0.53375	0.48875	0.51125	0.245	0.56875	0.48875	0.49625	0.47875	0.47625	0.45	0.52625	0.42	0.5325	0.27125	0.22375	0.37625	0.0725	0.11125	0.35125	0.20625	0.435	0.44125	0.385	0.4975	0.55375	0.345	0.5	0.28875	0.29	0.32625	0.57	0.50375	0.24875	0.5325	0.55875	0.4825	0.535	0.54375	0.4825	0.5525	0.55	0.56375	0.56375	0.52125	0.53125	0.5375	0.43625	0.54	0.56	0.53	0.395
SRR515153	0.32875	0.0	0.085	0.0625	0.19375	0.46125	0.0975	0.1575	0.23625	0.06125	0.17375	0.1575	0.3175	0.105	0.15125	0.175	0.16125	0.0775	0.175	0.1025	0.30125	0.325	0.26375	0.22875	0.09375	0.19375	0.15375	0.32125	0.21625	0.10625	0.21	0.2525	0.2625	0.2575	0.2625	0.255	0.17625	0.23375	0.1225	0.29125	0.18125	0.12	0.23875	0.21	0.245	0.2975	0.285	0.21	0.2325	0.21125	0.18125	0.30875	0.24875	0.16875	0.25125	0.1525	0.13375	0.14125	0.28375	0.2575	0.07	0.165	0.33125	0.17375	0.08125	0.24	0.27375	0.08375	0.21375	0.1	0.0925	0.19375	0.28125	0.23	0.1425	0.2575	0.27125	0.20875	0.24875	0.2675	0.20375	0.26875	0.265	0.275	0.275	0.2525	0.2625	0.26	0.21	0.26	0.27	0.25625	0.14875
SRR521174	0.3475	0.085	0.0	0.11	0.2125	0.46	0.08875	0.13625	0.27875	0.105	0.17125	0.17875	0.3525	0.12875	0.18875	0.18125	0.1725	0.09	0.185	0.14375	0.30125	0.3375	0.25875	0.2325	0.12875	0.2125	0.18125	0.33	0.2175	0.16	0.2425	0.24875	0.29	0.24625	0.25625	0.265	0.20875	0.2375	0.10125	0.3125	0.2025	0.125	0.245	0.20875	0.24125	0.33625	0.28625	0.21	0.23	0.2025	0.1825	0.30625	0.24125	0.1775	0.23	0.18	0.1775	0.1475	0.305	0.285	0.075	0.175	0.34	0.18375	0.0925	0.2275	0.28	0.08375	0.22625	0.1	0.135	0.24625	0.27125	0.2325	0.1725	0.25125	0.2675	0.21625	0.24875	0.27375	0.2075	0.25875	0.25625	0.265	0.2675	0.24	0.2575	0.25625	0.205	0.26	0.2625	0.25	0.15625
SRR518987	0.30375	0.0625	0.11	0.0	0.165	0.435	0.0825	0.13125	0.21875	0.08625	0.1375	0.13125	0.3125	0.135	0.16375	0.16	0.14875	0.06125	0.16125	0.08125	0.26375	0.2925	0.24125	0.26125	0.08625	0.1675	0.145	0.29375	0.255	0.08875	0.18	0.26875	0.27	0.28125	0.2775	0.23375	0.16875	0.26	0.13875	0.275	0.1575	0.115	0.27	0.23	0.2575	0.29125	0.31375	0.25125	0.24625	0.23	0.2075	0.3025	0.26625	0.18875	0.2675	0.16625	0.12	0.18875	0.27	0.2375	0.08875	0.1575	0.32375	0.19875	0.1025	0.24875	0.3025	0.09375	0.25625	0.07375	0.0675	0.19625	0.30375	0.2575	0.12125	0.275	0.29	0.24125	0.27375	0.2925	0.23125	0.28375	0.28625	0.29625	0.29625	0.26125	0.2725	0.28	0.21375	0.275	0.29125	0.2775	0.17375
SRR521180	0.16875	0.19375	0.2125	0.165	0.0	0.28625	0.16125	0.11875	0.10875	0.225	0.0925	0.0875	0.205	0.21875	0.2375	0.085	0.0875	0.15375	0.0975	0.1125	0.12875	0.1575	0.1025	0.37625	0.12625	0.08625	0.09	0.165	0.36625	0.13625	0.075	0.39625	0.17625	0.39	0.40125	0.1375	0.11375	0.37375	0.255	0.1275	0.0725	0.1275	0.38	0.35125	0.38375	0.2125	0.42875	0.35125	0.3725	0.3475	0.345	0.31875	0.3775	0.295	0.38625	0.1925	0.0925	0.26625	0.1275	0.1125	0.22	0.1	0.3275	0.29625	0.23625	0.37875	0.4225	0.195	0.36125	0.1525	0.1525	0.195	0.41875	0.365	0.1175	0.38625	0.4075	0.3475	0.39	0.41625	0.335	0.40875	0.3975	0.41375	0.41125	0.385	0.40375	0.3975	0.295	0.40375	0.405	0.385	0.265
SRR521181	0.19	0.46125	0.46	0.435	0.28625	0.0	0.4075	0.36625	0.2625	0.4775	0.32125	0.34	0.28625	0.43625	0.50875	0.33	0.33	0.41625	0.31875	0.36875	0.20875	0.21	0.235	0.64625	0.38375	0.3375	0.32875	0.2425	0.63625	0.38	0.28	0.63875	0.34	0.64625	0.6625	0.3	0.33125	0.645	0.49625	0.195	0.31875	0.38875	0.6325	0.6225	0.64	0.365	0.6975	0.62125	0.62875	0.61	0.61	0.5875	0.615	0.55125	0.6325	0.39625	0.34125	0.50625	0.2125	0.23375	0.47	0.3325	0.56375	0.54875	0.51125	0.63375	0.695	0.4475	0.63375	0.39875	0.38375	0.45	0.66	0.6425	0.355	0.6325	0.675	0.60375	0.65625	0.6875	0.60375	0.67375	0.65375	0.67	0.675	0.63	0.66875	0.66875	0.51875	0.6725	0.675	0.6375	0.525
SRR521183	0.29	0.0975	0.08875	0.0825	0.16125	0.4075	0.0	0.08625	0.225	0.13	0.115	0.105	0.28375	0.1175	0.15	0.10625	0.105	0.07	0.1225	0.105	0.25	0.2825	0.2	0.2725	0.06375	0.1375	0.12125	0.275	0.26375	0.09375	0.18875	0.29	0.225	0.29375	0.29625	0.205	0.13875	0.27875	0.15125	0.245	0.1275	0.0875	0.285	0.24875	0.28625	0.27	0.325	0.255	0.2725	0.255	0.22125	0.3075	0.29125	0.205	0.27625	0.13375	0.11125	0.1875	0.24375	0.2275	0.1275	0.1175	0.33625	0.21875	0.14125	0.27125	0.31375	0.1175	0.26375	0.0575	0.0925	0.17875	0.32125	0.26875	0.1275	0.30125	0.31	0.26375	0.29375	0.30625	0.245	0.30375	0.305	0.3125	0.31375	0.29125	0.2975	0.29625	0.2175	0.295	0.31	0.3	0.19
SRR521188	0.255	0.1575	0.13625	0.13125	0.11875	0.36625	0.08625	0.0	0.18625	0.1875	0.08625	0.08875	0.25125	0.18125	0.21625	0.0875	0.075	0.1225	0.09125	0.15	0.21	0.24	0.17	0.35125	0.11375	0.11	0.0975	0.24	0.33875	0.13	0.15	0.35875	0.195	0.35625	0.3675	0.1775	0.1275	0.34625	0.19875	0.21375	0.09875	0.08	0.35375	0.32	0.355	0.25375	0.3975	0.32625	0.3425	0.325	0.28875	0.315	0.35125	0.2775	0.3425	0.1625	0.10375	0.24875	0.21	0.1925	0.18375	0.10625	0.34	0.2825	0.205	0.34625	0.39	0.1725	0.3425	0.10125	0.1375	0.20875	0.38375	0.34125	0.0925	0.3625	0.37375	0.33875	0.35625	0.38375	0.31875	0.37125	0.36625	0.37625	0.37875	0.355	0.37	0.37	0.28375	0.3725	0.3725	0.36125	0.25875
SRR521191	0.14625	0.23625	0.27875	0.21875	0.10875	0.2625	0.225	0.18625	0.0	0.25625	0.17375	0.14125	0.16875	0.27625	0.31125	0.1525	0.15375	0.23	0.1625	0.18	0.11625	0.15375	0.12	0.44625	0.18375	0.14125	0.15625	0.1325	0.4325	0.185	0.08125	0.47375	0.18875	0.475	0.485	0.12875	0.1675	0.4525	0.3325	0.09375	0.14	0.19375	0.46375	0.42875	0.4575	0.195	0.50125	0.4225	0.44625	0.42375	0.405	0.39125	0.45625	0.355	0.47375	0.245	0.16	0.32375	0.10625	0.07875	0.26125	0.15875	0.3725	0.37125	0.28625	0.44625	0.4925	0.27625	0.42875	0.22375	0.2175	0.255	0.50125	0.4425	0.1425	0.46625	0.485	0.4175	0.46875	0.485	0.41875	0.4925	0.485	0.49375	0.4925	0.47	0.47	0.47125	0.37125	0.4775	0.49	0.465	0.3275
SRR521194	0.335	0.06125	0.105	0.08625	0.225	0.4775	0.13	0.1875	0.25625	0.0	0.21125	0.17125	0.3325	0.09125	0.17375	0.20125	0.19125	0.10375	0.18	0.13625	0.30875	0.36	0.30625	0.23625	0.135	0.1975	0.195	0.3375	0.23	0.12125	0.23	0.2575	0.27	0.25875	0.2625	0.29625	0.2175	0.23375	0.13125	0.31125	0.2	0.145	0.24875	0.21375	0.24375	0.34125	0.28625	0.22	0.2325	0.22125	0.19	0.3175	0.2525	0.1925	0.25375	0.1625	0.17	0.12625	0.29375	0.285	0.08375	0.2075	0.35625	0.19875	0.0925	0.24125	0.2675	0.09625	0.225	0.12125	0.13625	0.23875	0.2825	0.22375	0.155	0.26375	0.27625	0.2225	0.25	0.2625	0.22125	0.27125	0.26875	0.27625	0.2775	0.25625	0.26375	0.265	0.235	0.2625	0.27625	0.25875	0.17375
